Condition,CodeType,DxCodeLocation,DxCode,,,,,,
ASTHMA,ICD10DX,ANY,J45.990,,,,,,
ASTHMA,ICD10DX,ANY,J45.991,,,,,,
ASTHMA,ICD10DX,ANY,J45.998,,,,,,
ASTHMA,ICD10DX,ANY,J82.83,,,,,,
ASTHMA,ICD9DX,ANY,493,,,,,,
ASTHMA,ICD9DX,ANY,493.01,,,,,,
ASTHMA,ICD9DX,ANY,493.02,,,,,,
ASTHMA,ICD9DX,ANY,493.1,,,,,,
ASTHMA,ICD9DX,ANY,493.11,,,,,,
ASTHMA,ICD9DX,ANY,493.12,,,,,,
ASTHMA,ICD9DX,ANY,493.2,,,,,,
ASTHMA,ICD9DX,ANY,493.21,,,,,,
ASTHMA,ICD9DX,ANY,493.22,,,,,,
ASTHMA,ICD9DX,ANY,493.81,,,,,,
ASTHMA,ICD9DX,ANY,493.82,,,,,,
ASTHMA,ICD9DX,ANY,493.9,,,,,,
ASTHMA,ICD9DX,ANY,493.91,,,,,,
ASTHMA,ICD9DX,ANY,493.92,,,,,,
ATRIALF,ICD10DX,DX1 DX2,I48.0,,,,,,
ATRIALF,ICD10DX,DX1 DX2,I48.1,,,,,,
ATRIALF,ICD10DX,DX1 DX2,I48.11,,,,,,
ATRIALF,ICD10DX,DX1 DX2,I48.19,,,,,,
ATRIALF,ICD10DX,DX1 DX2,I48.2,,,,,,
ATRIALF,ICD10DX,DX1 DX2,I48.20,,,,,,
ATRIALF,ICD10DX,DX1 DX2,I48.21,,,,,,
ATRIALF,ICD10DX,DX1 DX2,I48.91,,,,,,
ATRIALF,ICD9DX,DX1 DX2,427.31,,,,,,
CATARACT,ICD10DX,DX1,H25.011,,,,,,
CATARACT,ICD10DX,DX1,H25.012,,,,,,
CATARACT,ICD10DX,DX1,H25.013,,,,,,
CATARACT,ICD10DX,DX1,H25.019,,,,,,
CATARACT,ICD10DX,DX1,H25.031,,,,,,
CATARACT,ICD10DX,DX1,H25.032,,,,,,
CATARACT,ICD10DX,DX1,H25.033,,,,,,
CATARACT,ICD10DX,DX1,H25.039,,,,,,
CATARACT,ICD10DX,DX1,H25.041,,,,,,
CATARACT,ICD10DX,DX1,H25.042,,,,,,
CATARACT,ICD10DX,DX1,H25.043,,,,,,
CATARACT,ICD10DX,DX1,H25.049,,,,,,
CATARACT,ICD10DX,DX1,H25.091,,,,,,
CATARACT,ICD10DX,DX1,H25.092,,,,,,
CATARACT,ICD10DX,DX1,H25.093,,,,,,
CATARACT,ICD10DX,DX1,H25.099,,,,,,
CATARACT,ICD10DX,DX1,H25.10,,,,,,
CATARACT,ICD10DX,DX1,H25.11,,,,,,
CATARACT,ICD10DX,DX1,H25.12,,,,,,
CATARACT,ICD10DX,DX1,H25.13,,,,,,
CATARACT,ICD10DX,DX1,H25.20,,,,,,
CATARACT,ICD10DX,DX1,H25.21,,,,,,
CATARACT,ICD10DX,DX1,H25.22,,,,,,
CATARACT,ICD10DX,DX1,H25.23,,,,,,
CATARACT,ICD10DX,DX1,H25.811,,,,,,
CATARACT,ICD10DX,DX1,H25.812,,,,,,
CATARACT,ICD10DX,DX1,H25.813,,,,,,
CATARACT,ICD10DX,DX1,H25.819,,,,,,
CATARACT,ICD10DX,DX1,H25.89,,,,,,
CATARACT,ICD10DX,DX1,H25.9,,,,,,
CATARACT,ICD10DX,DX1,H26.011,,,,,,
CATARACT,ICD10DX,DX1,H26.012,,,,,,
CATARACT,ICD10DX,DX1,H26.013,,,,,,
CATARACT,ICD10DX,DX1,H26.019,,,,,,
CATARACT,ICD10DX,DX1,H26.031,,,,,,
CATARACT,ICD10DX,DX1,H26.032,,,,,,
CATARACT,ICD10DX,DX1,H26.033,,,,,,
CATARACT,ICD10DX,DX1,H26.039,,,,,,
CATARACT,ICD10DX,DX1,H26.041,,,,,,
CATARACT,ICD10DX,DX1,H26.042,,,,,,
CATARACT,ICD10DX,DX1,H26.043,,,,,,
CATARACT,ICD10DX,DX1,H26.049,,,,,,
CATARACT,ICD10DX,DX1,H26.051,,,,,,
CATARACT,ICD10DX,DX1,H26.052,,,,,,
CATARACT,ICD10DX,DX1,H26.053,,,,,,
CATARACT,ICD10DX,DX1,H26.059,,,,,,
CATARACT,ICD10DX,DX1,H26.061,,,,,,
CATARACT,ICD10DX,DX1,H26.062,,,,,,
CATARACT,ICD10DX,DX1,H26.063,,,,,,
CATARACT,ICD10DX,DX1,H26.069,,,,,,
CATARACT,ICD10DX,DX1,H26.09,,,,,,
CATARACT,ICD10DX,DX1,H26.101,,,,,,
CATARACT,ICD10DX,DX1,H26.102,,,,,,
CATARACT,ICD10DX,DX1,H26.103,,,,,,
CATARACT,ICD10DX,DX1,H26.109,,,,,,
CATARACT,ICD10DX,DX1,H26.111,,,,,,
CATARACT,ICD10DX,DX1,H26.112,,,,,,
CATARACT,ICD10DX,DX1,H26.113,,,,,,
CATARACT,ICD10DX,DX1,H26.119,,,,,,
CATARACT,ICD10DX,DX1,H26.121,,,,,,
CATARACT,ICD10DX,DX1,H26.122,,,,,,
CATARACT,ICD10DX,DX1,H26.123,,,,,,
CATARACT,ICD10DX,DX1,H26.129,,,,,,
CATARACT,ICD10DX,DX1,H26.131,,,,,,
CATARACT,ICD10DX,DX1,H26.132,,,,,,
CATARACT,ICD10DX,DX1,H26.133,,,,,,
CATARACT,ICD10DX,DX1,H26.139,,,,,,
CATARACT,ICD10DX,DX1,H26.20,,,,,,
CATARACT,ICD10DX,DX1,H26.211,,,,,,
CATARACT,ICD10DX,DX1,H26.212,,,,,,
CATARACT,ICD10DX,DX1,H26.213,,,,,,
CATARACT,ICD10DX,DX1,H26.219,,,,,,
CATARACT,ICD10DX,DX1,H26.30,,,,,,
CATARACT,ICD10DX,DX1,H26.31,,,,,,
CATARACT,ICD10DX,DX1,H26.32,,,,,,
CATARACT,ICD10DX,DX1,H26.33,,,,,,
CATARACT,ICD10DX,DX1,H26.40,,,,,,
CATARACT,ICD10DX,DX1,H26.411,,,,,,
CATARACT,ICD10DX,DX1,H26.412,,,,,,
CATARACT,ICD10DX,DX1,H26.413,,,,,,
CATARACT,ICD10DX,DX1,H26.419,,,,,,
CATARACT,ICD10DX,DX1,H26.491,,,,,,
CATARACT,ICD10DX,DX1,H26.492,,,,,,
CATARACT,ICD10DX,DX1,H26.493,,,,,,
CATARACT,ICD10DX,DX1,H26.499,,,,,,
CATARACT,ICD10DX,DX1,H26.8,,,,,,
CATARACT,ICD10DX,DX1,H26.9,,,,,,
CATARACT,ICD10DX,DX1,Q12.0,,,,,,
CATARACT,ICD10DX,DX1,Z96.1,,,,,,
CATARACT,ICD9DX,DX1,366.01,,,,,,
CATARACT,ICD9DX,DX1,366.02,,,,,,
CATARACT,ICD9DX,DX1,366.03,,,,,,
